Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23210.04","Sugar and syrups n.e.c.","2023","2023","1000 USD","53800","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23670.01","Sugar confectionery","2023","2023","1000 USD","39723","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01445","Sunflower seed","2023","2023","1000 USD","5320","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21631.01","Sunflower-seed oil, crude","2023","2023","1000 USD","34593","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21523","Tallow","2023","2023","1000 USD","49025","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01620","Tea leaves","2023","2023","1000 USD","5557","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01234","Tomatoes","2023","2023","1000 USD","78","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01970","Unmanufactured tobacco","2023","2023","1000 USD","29355","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01658","Vanilla, raw","2023","2023","1000 USD","214","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","39120.91","Vegetable products for feed n.e.c.","2023","2023","1000 USD","142","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F0473","Vegetables frozen","2023","2023","1000 USD","500447","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F0472","Vegetables preserved nes (o/t vinegar)","2023","2023","1000 USD","171579","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21393.90","Vegetables, dehydrated","2023","2023","1000 USD","44887","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21429.02","Walnuts, shelled","2023","2023","1000 USD","168412","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","0111","Wheat","2023","2023","1000 USD","2002846","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23110","Wheat and meslin flour","2023","2023","1000 USD","180146","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","22130.02","Whey, dry","2023","2023","1000 USD","55174","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","24212.02","Wine","2023","2023","1000 USD","287328","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","26130","Wool, degreased or carbonized, not carded or combed","2023","2023","1000 USD","765","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","22230.01","Yoghurt","2023","2023","1000 USD","61","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01341","Apples","2023","2023","1000 USD","18","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","24310.01","Beer of barley, malted","2023","2023","1000 USD","8099","E","Estimated value"
